Service Name,Layer Name,Field Name,Codes,Type
 
Administrative Information
 
 ,Access Points
 , ,Children,Activities
 , ,Address,-,TEXT
 , ,Alias,-,TEXT
 , ,Unique Number,-,SHORT
 , ,Status,Current; Proposed; Temporary; Historic,TEXT
 , ,Start Date,-,DATE
 , ,End Date,-,DATE
 , ,Class,Primary; Secondary,TEXT
 , ,Notes,-,TEXT
 
 ,Blocks
 , ,Children,Activities
 , ,Name,-,TEXT
 , ,Alias,-,TEXT
 , ,Unique Number,-,SHORT
 , ,Status,Current; Proposed; Temporary; Historic,TEXT
 , ,Start Date,-,DATE
 , ,End Date,-,DATE
 , ,Class,Paddock; Transport Corridor; Waterway Corridor; Supplement Paddock; Forestry Stand; Residential,TEXT
 , ,Subclass,-,TEXT
 , ,Productive,Yes; No,TEXT
 , ,Protected,Yes; No,TEXT
 , ,Notes,-,TEXT
 
 ,Site
 , ,Children,Blocks; Access Points; Activities; Additional Details; Measurements; Staff
 , ,Name,-,TEXT
 , ,Alias,-,TEXT
 , ,Unique Number,-,SHORT
 , ,Status,Current; Proposed; Temporary; Historic,TEXT
 , ,Start Date,-,DATE
 , ,End Date,-,DATE
 , ,Class,Dairy; Dry Stock; Forestry; Horticulture,TEXT
 , ,Subclass,Primary; Secondary,TEXT
 , ,Capacity,-,SHORT
 , ,Unit,units; millimetres; centimeters; meters; kilometers; kilograms; tonnes; litres; cubic metres,TEXT
 , ,Usage,-,TEXT
 , ,Notes,-,TEXT
 
 ,Holding
 , ,Children,Site
 , ,Name,-,TEXT
 , ,Alias,-,TEXT
 , ,Start Date,-,DATE
 , ,End Date,-,DATE
 , ,Owner,-,TEXT
 , ,Titles,-,TEXT
 , ,Notes,-,TEXT
 
Structures
 
 ,Production Structures
 , ,Children,Activities; Additional Details; Hazards; Measurements
 , ,Name,-,TEXT
 , ,Alias,-,TEXT
 , ,Unique Number,-,SHORT
 , ,Status,Current; Proposed; Temporary; Historic,TEXT
 , ,Start Date,-,DATE
 , ,End Date,-,DATE
 , ,Class,Dairy Shed,TEXT
 , ,Subclass,High Line Herringbone; External Rotary; Internal Rotary,TEXT
 , ,Capacity,-,DOUBLE
 , ,Unit,units; millimetres; centimeters; meters; kilometers; kilograms; tonnes; litres; cubic metres,TEXT
 , ,Usage,-,TEXT
 , ,Material,Concrete; Polyurethane; Wood; Metal,TEXT
 , ,Notes,-,TEXT
 
 ,Storage Structures
